Designator,Mid X,Mid Y,Rotation,Layer
C1,57.25,26.5,90.0,top
C10,51.5,21.5,0.0,top
C11,13.0,12.0,180.0,top
C12,28.5,38.0,180.0,top
C13,44.75,49.0,90.0,top
C14,23.75,38.5,180.0,top
C15,23.75,30.5,180.0,top
C16,38.25,27.75,270.0,top
C17,29.75,36.5,180.0,top
C18,31.52,38.25,0.0,top
C19,39.25,36.25,0.0,top
C2,46.0,12.98,90.0,top
C20,27.0,31.0,180.0,top
C21,25.5,28.0,90.0,top
C22,28.27,48.25,180.0,top
C3,56.75,13.0,270.0,top
C35,19.0,52.0,270.0,top
C36,15.533455,49.884914,90.0,top
C4,50.25,26.5,270.0,top
C47,16.75,49.77,90.0,top
C49,13.5,60.75,0.0,top
C5,41.5,20.25,0.0,top
C50,13.5,58.75,0.0,top
C51,13.25,49.25,0.0,top
C52,13.25,47.25,0.0,top
C53,17.25,57.75,0.0,top
C6,54.25,20.75,270.0,top
C7,41.5,22.25,0.0,top
C8,51.5,19.5,0.0,top
C9,44.25,21.5,270.0,top
D1,41.75,13.0,180.0,top
D10,41.0,26.5,0.0,top
D12,12.0,16.0,90.0,top
D14,12.0,20.0,270.0,top
D16,12.0,26.325,90.0,top
D18,12.0,31.425,90.0,top
D2,52.5,13.0,180.0,top
D3,46.5,21.5,270.0,top
D4,56.5,20.75,270.0,top
D5,37.25,39.75,180.0,top
D6,41.5,39.75,0.0,top
D7,39.5,39.75,0.0,top
D8,39.0,44.75,180.0,top
D9,41.25,44.75,0.0,top
FB1,27.0,28.75,270.0,top
FID1,23.0,79.0,90.0,top
FID2,77.0,26.0,90.0,top
FID3,36.0,8.0,90.0,top
H1,3.0,11.0,90.0,top
H2,12.45,87.0,90.0,top
H3,86.0,13.0,90.0,top
H4,84.0,19.0,90.0,top
H5,6.0,6.0,90.0,top
H6,17.0,84.0,90.0,top
J1,43.18,5.32,0.0,top
J10,39.0,61.5,90.0,top
J2,53.34,5.32,0.0,top
J3,76.2,5.32,0.0,top
J4,39.5,42.25,180.0,top
J5,49.69,33.75,270.0,top
J6,27.94,5.32,0.0,top
J7,26.995,25.0,90.0,top
J8,5.08,25.64,270.0,top
J9,29.0,61.5,90.0,top
JP1,34.495,53.0,90.0,top
M2,5.08,53.34,270.0,top
R1,46.0,15.0,90.0,top
R10,13.25,20.01,90.0,top
R11,13.25,26.25,270.0,top
R12,27.5,32.25,0.0,top
R13,41.0,28.0,0.0,top
R14,25.75,11.75,0.0,top
R15,39.5,53.5,270.0,top
R2,47.0,15.0,270.0,top
R3,56.25,15.75,270.0,top
R36,30.25,28.25,270.0,top
R4,55.25,15.76,270.0,top
R41,19.0,56.75,90.0,top
R5,47.0,18.75,90.0,top
R6,44.25,19.25,0.0,top
R7,45.75,18.75,270.0,top
R8,56.5,18.0,180.0,top
R9,44.75,39.0,90.0,top
SW1,48.5,39.0,180.0,top
SW2,5.08,73.9,270.0,top
SW3,61.0,35.5,270.0,top
SW4,5.08,84.06,270.0,top
SW5,48.5,49.0,180.0,top
TC1,17.78,5.32,0.0,top
TP1,77.25,15.5,180.0,top
TP2,47.25,26.5,180.0,top
U1,53.75,25.25,90.0,top
U2,70.0,15.5,180.0,top
U3,43.75,16.75,180.0,top
U4,53.0,16.75,180.0,top
U5,18.0,14.0,270.0,top
U6,34.5,32.5,270.0,top
U7,28.25,52.75,0.0,top
U8,15.25,54.0,90.0,top
Y1,23.75,34.5,90.0,top
